	PlaceTest	DateTest	Rate	TextRate	HourTest	Sex	MaritalStatus	Education	Hometown	Neighborhood	Approved	AllRate	HasTextRate	Month	Year
146	1	2017-01-16	7.0	1.5	2	1	4	9	Coronel fabriciano 	São Vicente	1	8.5	1	1	2017
147	1	2017-01-17	6.85	1.6	1	1	1	8	Votuporanga	Lagoinha	1	8.45	1	1	2017
148	1	2017-01-17	6.85	1.6	1	1	1	8	Timóteo	Centro	1	8.45	1	1	2017
149	1	2017-07-01	6.8	1.8	2	1	4	3	PEDRO LEOPOLDO	BOA VISTA	1	8.6	1	7	2017
150	1	2017-10-01	6.75	2.0	1	2	4	8	Caetanopolis	Nossa SR. DAS GRAÇAS	1	8.75	1	10	2017
151	1	2017-01-15	6.65	1.9	2	1	4	9	SETE LAGOAS	Santa Luzia	1	8.55	1	1	2017
152	1	2017-01-17	6.6	1.6	1	2	4	8	tiros	Santo Antônio	1	8.2	1	1	2017
153	1	2017-01-01	6.55	2.3	2	1	4	9	Curvelo	Maracana	1	8.85	1	1	2017
154	1	2017-03-01	6.55	1.8	1	1	4	9	CORDISBURGO	Jardim Arizona	1	8.35	1	3	2017
155	1	2017-08-01	6.45	1.7	2	2	2	3	sete lagoas	Emília	1	8.15	1	8	2017
156	1	2017-01-16	6.4	1.4	2	1	4	8	Sete Lagoas	Progresso	1	7.800000000000001	1	1	2017
157	1	2017-06-01	6.35	2.1	1	1	4	9	Sete lagoas	Nossa Senhora das Graças	1	8.45	1	6	2017
158	1	2017-01-16	6.35	1.6	2	1	4	8	Belo Horizonte	Bela Vista III	1	7.949999999999999	1	1	2017
159	1	2017-09-01	6.3	1.8	2	1	1	3	Curvelo	São Judas Tadeu	1	8.1	1	9	2017
160	1	2017-01-15	6.25	1.5	2	1	1	8	BELO HORIZONTE	Santa Helena	1	7.75	1	1	2017
161	1	2017-01-16	6.25	1.5	2	2	4	9	Belo Horizonte	Fazendinhas	1	7.75	1	1	2017
162	1	2017-10-01	6.25	1.5	1	2	4	3	Caetanópolis 	Zona rural	1	7.75	1	10	2017
163	1	2017-01-15	6.25	1.5	2	1	2	9	Sete lagoas	Fátima	1	7.75	1	1	2017
164	1	2017-10-01	6.2	1.7	1	2	1	3	Sete Lagoas	Luxemburgo	1	7.9	1	10	2017
165	1	2017-09-01	6.2	1.7	2	2	4	8	Barbacena	São Geraldo	1	7.9	1	9	2017
166	1	2017-03-01	6.2	1.7	1	1	4	3	Sete Lagoas	Mata Grande	1	7.9	1	3	2017
167	1	2017-01-16	6.1	1.6	1	2	4	8	Sete Lagoas	Recanto do Cedro	1	7.699999999999999	1	1	2017
168	1	2017-09-01	6.1	1.6	2	1	4	3	Sete Lagoas	São Cristóvão	1	7.699999999999999	1	9	2017
169	1	2017-06-01	6.05	2.3	2	1	1	4	FUNILÂNDIA	Boa Vista	1	8.35	1	6	2017
170	1	2017-01-13	6.05	1.8	1	1	4	9	Capelinha	Centro	1	7.85	1	1	2017
171	1	2017-01-17	6.0	1.5	1	2	4	8	São Paulo	recanto do rio 1	1	7.5	1	1	2017
172	1	2017-01-16	6.0	1.0	2	1	4	8	Piracema 	Jardim Arizona	1	7.0	1	1	2017
173	1	2017-01-15	5.95	1.7	2	2	4	4	Paraopeba 	Centro	1	7.65	1	1	2017
174	1	2017-01-13	5.95	1.7	2	1	1	8	Sete Lagoas	Piedade	1	7.65	1	1	2017
175	1	2017-10-01	5.95	1.7	1	2	4	4	caetanopolis	Nossa Senhora das Graças	1	7.65	1	10	2017
176	1	2017-01-14	5.95	1.7	2	2	4	3	Sete Lagoas	Conjunto Habitacional Bernardo Valadares Vasconcelos	1	7.65	1	1	2017
177	1	2017-01-17	5.95	1.7	1	2	4	9	Caetanóplis	Colina	1	7.65	1	1	2017
178	1	2017-10-01	5.9	1.9	1	2	4	8	Sete Lagoas	São Francisco de Assis	1	7.800000000000001	1	10	2017
179	1	2017-03-01	5.85	2.1	1	1	4	8	Sete Lagoas	Papavento	1	7.949999999999999	1	3	2017
180	1	2017-01-13	5.85	2.1	1	1	4	9	Divinopolis	Centro	1	7.949999999999999	1	1	2017
181	1	2017-01-16	5.85	1.6	2	1	3	3	CAETANOPOLIS	Zona Rural	1	7.449999999999999	1	1	2017
182	1	2017-03-01	5.85	1.6	1	1	1	8	SETE LAGOAS	Catarina	1	7.449999999999999	1	3	2017
183	1	2017-03-01	5.85	1.6	1	1	1	3	CORINTO	Belo Vale ll	1	7.449999999999999	1	3	2017
184	1	2017-01-16	5.85	1.6	2	1	1	0	LORENA	Interlagos II	1	7.449999999999999	1	1	2017
185	1	2017-01-16	5.8	1.8	2	2	4	3	SETE LAGOAAS	Centro	1	7.6	1	1	2017
186	1	2017-01-13	5.8	1.8	1	1	4	0	sete lagoas	Brasília	1	7.6	1	1	2017
187	1	2017-01-13	5.8	1.8	2	2	4	3	Caetanópolis	Nossa senhora das Graças	1	7.6	1	1	2017
188	1	2017-01-16	5.8	1.3	2	2	4	3	Pompeu	São Francisco	1	7.1	1	1	2017
189	1	2017-01-15	5.8	1.3	2	1	4	3	Cordisburgo	Sagarana	1	7.1	1	1	2017
190	1	2017-01-17	5.8	1.3	1	2	4	3	pompeu	Santo Antônio	1	7.1	1	1	2017
191	1	2017-06-01	5.75	2.0	2	2	2	3	Belo Horizonte 	Aeroporto Industrial	1	7.75	1	6	2017
192	1	2017-03-01	5.75	1.5	1	1	1	3	SÃO ROQUE	Brasília	1	7.25	1	3	2017
193	1	2017-01-16	5.75	1.5	1	2	4	9	Sete Lagoas	Blue Garden Safira	1	7.25	1	1	2017
194	1	2017-01-16	5.7	1.7	2	1	1	8	Sete Lagoas	Fátima	1	7.4	1	1	2017
195	1	2017-01-16	5.7	1.7	2	1	1	3	Montes  Claros 	Centro	1	7.4	1	1	2017
196	1	2017-06-01	5.7	1.7	2	1	1	8	Sete Lagoas 	Jardim Arizona	1	7.4	1	6	2017
197	1	2017-10-01	5.7	1.7	1	1	1	0	Corinto	Brejinho	1	7.4	1	10	2017
198	1	2017-01-16	5.7	1.7	1	1	4	8	Belo Horizonte	Palmeiras	1	7.4	1	1	2017
199	1	2017-09-01	5.7	1.7	2	1	4	3	SETE LAGOAS	São Geraldo	1	7.4	1	9	2017
200	1	2017-01-16	5.7	1.7	2	1	4	3	Sete lagoas	São Sebastião	1	7.4	1	1	2017
201	1	2017-01-16	5.7	1.7	2	2	4	8	Sete Lagoas	Recanto do Cedro	1	7.4	1	1	2017
202	1	2017-01-13	5.7	1.7	2	2	1	3	Sete Lagoas	São João	1	7.4	1	1	2017
203	1	2017-01-17	5.65	1.9	1	1	1	3	Almenara	Pq. Agenor Teixeira	1	7.550000000000001	1	1	2017
204	1	2017-10-01	5.65	1.9	1	1	4	4	Guarulhos	São Cristovão	1	7.550000000000001	1	10	2017
205	1	2017-01-15	5.65	1.4	1	2	4	8	Pedro Leopoldo	Triângulo	1	7.050000000000001	1	1	2017
206	1	2017-01-15	5.65	1.4	1	1	4	3	sete lagoas	Iporanga	1	7.050000000000001	1	1	2017
207	1	2017-08-01	5.6	1.6	1	1	4	3	SETE LAGOAS	Canadá	1	7.199999999999999	1	8	2017
208	1	2017-01-14	5.6	1.1	1	1	1	8	Sete lagoas 	São Dimas 	1	6.699999999999999	1	1	2017
209	1	2017-10-01	5.55	1.8	1	1	1	6	Curvelo	CIDADE  JARDIM	1	7.35	1	10	2017
210	1	2017-10-01	5.55	1.8	1	1	4	3	Sete lagoas 	Campo belo 	1	7.35	1	10	2017
211	1	2017-08-01	5.55	1.8	2	2	4	3	Belo Horizonte	Mata Grande	1	7.35	1	8	2017
212	1	2017-01-16	5.55	1.8	2	1	4	3	sete lagoas	Santo Antônio	1	7.35	1	1	2017
213	1	2017-01-14	5.55	1.8	1	1	4	3	SETE LAGOAS	OLHOS D AGUA	1	7.35	1	1	2017
214	1	2017-09-01	5.55	1.8	2	2	4	0	SETE LAGOAS	Belo Vale	1	7.35	1	9	2017
